1051,39.5
1052,39.5
1053,40.1
1054,39.5
1055,39.0
1056,39.0
1057,40.1
1058,39.5
1059,39.0
1100,39.5
1101,39.0
1102,39.5
1103,39.5
1104,39.5
1105,39.0
1106,39.0
1107,39.0
1108,39.0
1109,39.5
1110,39.0
1111,39.0
1112,39.0
1113,39.0
1114,39.0
1115,39.0
1116,39.0
1117,39.0
1118,39.0
1119,39.0
1120,39.0
1121,39.0
1122,38.5
1123,39.0
1124,38.5
1125,39.0
1126,39.0
1127,39.0
1128,38.5
1129,39.0
1130,39.0
1131,38.5
1132,38.5
1133,38.5
1134,37.9
1135,39.0
1136,39.0
1137,38.5
1138,39.0
1139,38.5
1140,38.5
1141,38.5
1142,38.5
1143,38.5
1144,38.5
1145,38.5
1146,38.5
1147,38.5
1148,39.0
1149,38.5
1150,39.0
1151,38.5
1152,38.5
1153,38.5
1154,38.5
1155,38.5
1156,39.0
1157,39.0
1158,39.0
1159,39.0
1200,38.5
1201,38.5
1202,39.0
1203,39.0
1204,39.0
1205,39.0
1206,38.5
1207,38.5
1208,38.5
1209,38.5
1210,37.9
1211,38.5
1212,38.5
1213,39.0
1214,37.9
1215,37.9
1216,38.5
1217,39.0
1218,39.0
1219,37.9
1220,38.5
1221,38.5
1222,38.5
1223,38.5
1224,37.9
1225,37.9
1226,37.9
1227,38.5
1228,37.4
1229,37.9
1230,39.0
1231,37.9
1232,37.9
1233,38.5
1234,37.9
1235,37.9
1236,37.9
1237,38.5
1238,38.5
1239,38.5
1240,37.9
1241,37.9
1242,37.9
1243,37.9
1244,37.9
1245,38.5
1246,37.9
1247,37.9
1248,37.9
1249,37.9
1250,38.5
1251,37.9
1252,37.9
1253,37.9
1254,37.9
1255,37.9
1256,38.5
1257,37.9
